hair
hairs
haired
head
heads
headed
face
faces
faced
eye
eyes
eyed
nose
noses
nosed
lip
lips
lipped
ear
ears
eared
mouth
mouths
mouthed
neck
necks
necked
shoulder
shoulders
shouldered
arm
arms
armed
hand
hands
handed
palm
palms
palmed
finger
fingers
fingered
forefinger
forefingers
fingertip
fingertips
thumb
thumbs
chest
chests
chested
breast
breasts
breasted
torso
torsos
torsoed
belly
bellies
bellied
thigh
thighs
thighed
knee
knees
kneed
calf
calves
calved
leg
legs
legged
ankle
ankles
ankled
heel
heels
heeled
foot
feet
toe
toes
toed
body
bodies
bodied
skin
skins
skinned
